"SYS.STBR-NAME","PART#","PTS MK NAME","DESC","BASE-COST","NEW CORE PARTS","QOH","STAT","LAST SLS","LAST-RECV-DATE","SRC","BIN1","BIN2","COST","LIST","OLD PARTS NUMBER","CORE-QTY","GRP","ASSORTMENT-CLASS","STAT","UDF.EXT NEW CORE APP","NUMBER OF UNITS PER PKG","DIRTY CORE PARTS","BIN FOR DIRTY CORE"
"Honda of Concord","HP06536-S5A-505RM","HONDA","P/S RACK (S5F) (Y0)",374.85,200.00,1,"AP",,"09/10/24",6,"559C",,374.85,624.75,"HP53600-S5A-Y02RM",,"536RM",,"AP",0,1,0.00,"559C"
"Honda of Concord","HP06561-R70-505RM","HONDA","PUMP, POWER STEERING",268.65,125.00,1,,"06/04/25","01/03/25",8,152,,268.65,447.75,"HP56100-R70-A12RM",0,"561RM",,,0,1,0.00,152
"Honda of Concord","HP06561-RN0-316RM","HONDA","PUMP SUB-ASSY., P.S.",365.53,125.00,1,"AP","07/12/24","07/12/24",6,152,,365.53,609.22,,,"561RM",,"AP",0,1,0.00,152
"Honda of Concord","HP06601-TG7-305","HONDA","REPAIR KIT HOOD",5.50,0.00,5,,"12/26/24","12/01/21",8,"197F",,5.50,9.17,,,06999,,,0,1,0.00,"197F"
"Honda of Concord","HP06720-THR-308","HONDA","KIT, SL DR RR LATCH",160.00,0.00,1,"AP","05/21/24","01/14/25",6,174,,160.00,266.67,,,06999,,"AP",0,1,0.00,174
"Honda of Concord","HP06721-THR-308","HONDA","KIT,SL DR O/H CABLE",12.07,0.00,3,,"03/13/25","03/07/25",5,190,,12.07,20.11,,,06999,,,0,1,0.00,190
"Honda of Concord","HP06730-SWA-325","HONDA","KIT,TRG ARM HOLDER",65.00,0.00,1,,"05/14/25","05/13/25",6,"553D",,65.00,108.33,,,06999,,,0,1,0.00,"553D"
"Honda of Concord","HP06732-3W0-305","HONDA","KIT, RR WSHLD P(2WD)",136.11,0.00,1,,"06/06/25","06/03/25",6,"SPORD",,136.11,226.85,"HP06732-3W0-306
HP06732-3W0-316",,06999,,,0,1,0.00,"SPORD"
"Honda of Concord","HP06732-3W1-315","HONDA","KIT, RR. WSHLD",136.36,0.00,1,"NS","05/16/25","05/16/25",6,"501A",,136.36,227.27,,,73200,,"NS",0,1,0.00,"501A"
"Honda of Concord","HP06740-T1W-315","HONDA","KIT,RAD MT LWR CUSH",20.03,0.00,2,"AP","09/25/24","10/19/23",8,"190B",,20.03,33.38,,0,91550,,"AP",0,1,0.00,"190B"
"Honda of Concord","HP07AAC-001A101","HONDA","PUSH PIN/CAP PLIERS",18.10,0.00,1,"NS","06/13/25","06/06/25",6,"SPORD",,18.10,27.85,"HP07AAC-001A100",,07999,,"NS",0,1,0.00,"SPORD"
"Honda of Concord","HP07AAK-5R7A110","HONDA","MEDIA,CARBON CLEANER",14.23,0.00,7,,"06/16/25","05/24/24",6,184,,14.23,65.00,,,07999,,,0,1,0.00,184
