SYS.STBR-NAME,MAKE,DTL-6,DTL-CAT,TRANS-DATE,DOROTHY HILL,TRANS #,PART #,DESC,Ideal Components,TRANS-TYPE,TRANS-QTY,Central Supply,SALE,SRC-CAT,USER-ID,INV-NO,BIN1-DR,ADV-NO,CTRMN,CUST-NO,CUST-PO,PART-NO
Delta Dealer,HP, ,  AY     P,06/16/25,09:16,521-58705,94109-14000,"WASHER, DRAIN (14MM)",,SLS,1,0.38,0.81,12,143825NISAAC,FAKE_9,CTR,141866,143825,379879,,HP94109-14000
Delta Dealer,HP, ,  AY     P,06/16/25,09:42,521-63987,12341-5A2-A01,Liberty Supply,CO,PUR,20,10.93,,1,HOCPBC,U0110613,190C,,,,,HP12341-5A2-A01
Delta Dealer,HP, ,+ BY     P,06/16/25,11:45,521-83273,42751-MIC-155,TIRE (235/40R19),NO,PUR,1,225.05,,11,HOCPBC,S910613,1TIR2E,,,,,HP42751-MIC-155
Delta Dealer,HP, ,  AY     P,06/16/25,11:42,521-87604,06531-T20-305,"KIT, G/BOX ASSY STRG",,SLS,1,5.56,9.61,1,144285BRIVER,FAKE_10,161,145747,144285,535884,,HP06531-T20-305
Delta Dealer,HP,,,06/16/25,13:06,522-11966,62890-6GP0A,EMBLEM,IO,SLS,1,91.88,139.22,6,141328DMILLE,FAKE_1,,112803,296430,596705,,HP62890-6GP0A
Delta Dealer,HP,,,06/16/25,13:31,522-13558,TINT2,TINT,,SLS,1,15.00,51.00,19,101255JMCMAH,FAKE_13,TINT,451708,161529,999006,,HPTINT2
Delta Dealer,HP, ,  Z      P,06/16/25,13:31,522-16766,FS020-BAS-N0L,"OIL, FULLSYN (0W20)",,SLS,5,2.98,5.16,18,143825NISAAC,FAKE_3,BULK,136057,143825,25716,,HPFS020-BAS-N0L
Delta Dealer,HP, ,  BY     P,06/16/25,05:57,522-17011,75700-TF0-000,EMBLEM,,SLS,1,24.22,27.45,5,25957CHAGLER,463569,200B,,206,1502,18011682,HP75700-TF0-000
Delta Dealer,HP, ,  Z      P,06/16/25,12:17,522-33632,32117-THR-AD0,"HARN, INSTRUMENT",SP,RV,-1,"1,030.27",1781.34,6,120982MWERTZ,FAKE_14,SPORD,119428,135185,596240,,HP32117-THR-AD0
Delta Dealer,HP, ,  Z      P,06/16/25,10:16,522-34867,74176-TA0-A00,"BRACKET, L. (UPPER)",,ADD,0,8.02,,6,141331JCUARE,,SPORD,,,,,HP74176-TA0-A00
Delta Dealer,HP, ,  C      P,06/16/25,07:44,522-34870,34155-TLA-A11,"LIGHT ASSY., L. LID",,SLS,1,92.67,93.00,6,141331JCUARE,463598,SPORD,,141331,999022,76088,HP34155-TLA-A11
Delta Dealer,HP, ,  Z      P,06/16/25,08:23,522-42679,76200-TG7-A61ZD,"MIR, R. DR *NH731P*",,ADD,0,476.17,,6,102391CSLOOP,,SPORD,,,,,HP76200-TG7-A61ZD
Delta Dealer,HP, ,  CY     P,06/16/25,10:53,522-42894,72147-THR-AB1,FOB ASSY. (DRIVER 1),,ADD,0,36.33,,6,144626IMUNOZ,,SPORD,,,,,HP72147-THR-AB1
Delta Dealer,HP, ,  A      A,06/16/25,09:33,522-45493,08P17-3A0-110A,CHARLES HALL,,SLS,1,122.40,134.64,7,19318WSAIN,463638,564D,,207325,179599,,HP08P17-3A0-110A
Delta Dealer,HP,,,06/16/25,08:49,522-47960,68430843-AC,BRACKET,IO,SLS,1,31.61,42.15,6,141328DMILLE,FAKE_15,,162678,254459,595201,,HP68430843-AC
